data,plant_id,usina,kwp,kwh_dia,kwh_por_kwp,kwh_esperado,pct_atingido,kwh_mes,kwh_total,tarifa_rs_kwh,economia_dia_rs,economia_mes_rs,status,parcial,alarmes,base_referencia,coletado_em
2026-08-28,1408,Posto Tijucas,100.0,21.32,0.213,344.0,,2955.35,132919.71,0.87,18.55,2571.15,normal,1,0,referência regional,2026-08-28T09:19:52-03:00
2026-08-28,1460,Posto Makiolka,75.0,23.89,0.319,258.0,,3498.3,124641.11,0.87,20.78,3043.52,normal,1,0,referência regional,2026-08-28T09:19:52-03:00
2026-08-29,1348,Posto Bairro Novo,75.0,,,258.0,,6472.35,206411.97,0.87,,5630.94,status 02,1,0,referência regional,2026-08-29T04:29:48-03:00
2026-08-29,1408,Posto Tijucas,100.0,,,344.0,,3130.1,133095.33,0.87,,2723.19,status 02,1,0,referência regional,2026-08-29T04:29:48-03:00
2026-08-29,1460,Posto Makiolka,75.0,,,258.0,,3580.91,124723.73,0.87,,3115.39,status 02,1,0,referência regional,2026-08-29T04:29:48-03:00
2026-08-30,1348,Posto Bairro Novo,75.0,,,258.0,,6739.35,206678.97,0.87,,5863.23,status 02,1,0,referência regional,2026-08-30T02:59:35-03:00
2026-08-30,1408,Posto Tijucas,100.0,,,344.0,,3306.04,133272.15,0.87,,2876.25,status 02,1,0,referência regional,2026-08-30T02:59:35-03:00
2026-08-30,1460,Posto Makiolka,75.0,,,258.0,,3763.9,124906.72,0.87,,3274.59,status 02,1,0,referência regional,2026-08-30T02:59:35-03:00
2026-08-31,1348,Posto Bairro Novo,75.0,,,258.0,,6840.77,206780.39,0.87,,5951.47,status 02,1,0,referência regional,2026-08-31T03:20:18-03:00
2026-08-31,1408,Posto Tijucas,100.0,,,344.0,,3377.54,133344.01,0.87,,2938.46,status 02,1,0,referência regional,2026-08-31T03:20:18-03:00
2026-08-31,1460,Posto Makiolka,75.0,,,258.0,,3860.85,125003.67,0.87,,3358.94,status 02,1,0,referência regional,2026-08-31T03:20:18-03:00
2026-09-01,1348,Posto Bairro Novo,75.0,,,252.0,,,206834.26,0.87,,,status 02,1,0,referência regional,2026-09-01T02:48:06-03:00
2026-09-01,1408,Posto Tijucas,100.0,,,336.0,,,133378.53,0.87,,,status 02,1,0,referência regional,2026-09-01T02:48:06-03:00
2026-09-01,1460,Posto Makiolka,75.0,,,252.0,,,125043.41,0.87,,,status 02,1,0,referência regional,2026-09-01T02:48:06-03:00
2026-09-02,1348,Posto Bairro Novo,75.0,,,252.0,,232.18,207066.44,0.87,,202.0,status 02,1,0,referência regional,2026-09-02T02:11:27-03:00
2026-09-02,1408,Posto Tijucas,100.0,,,336.0,,144.39,133523.64,0.87,,125.62,status 02,1,0,referência regional,2026-09-02T02:11:27-03:00
2026-09-02,1460,Posto Makiolka,75.0,,,252.0,,118.17,125161.58,0.87,,102.81,status 02,1,0,referência regional,2026-09-02T02:11:27-03:00
2026-09-03,1348,Posto Bairro Novo,75.0,,,252.0,,552.35,207386.61,0.87,,480.54,status 02,1,0,referência regional,2026-09-03T02:15:19-03:00
2026-09-03,1408,Posto Tijucas,100.0,,,336.0,,403.46,133784.01,0.87,,351.01,status 02,1,0,referência regional,2026-09-03T02:15:19-03:00
2026-09-03,1460,Posto Makiolka,75.0,,,252.0,,379.45,125422.86,0.87,,330.12,status 02,1,0,referência regional,2026-09-03T02:15:19-03:00
2026-09-04,1348,Posto Bairro Novo,75.0,,,252.0,,968.68,207802.94,0.87,,842.75,status 02,1,0,referência regional,2026-09-04T02:11:29-03:00
2026-09-04,1408,Posto Tijucas,100.0,,,336.0,,700.94,134082.97,0.87,,609.82,status 02,1,0,referência regional,2026-09-04T02:11:29-03:00
2026-09-04,1460,Posto Makiolka,75.0,,,252.0,,567.51,125610.92,0.87,,493.73,status 02,1,0,referência regional,2026-09-04T02:11:29-03:00
